Timestamp,x61 Cell 1 Current,x61 Cell 1 Voltage,x61 Cell 1 Resistance,x61 Cell 1 Temp,x61 Cell 1 Temp,x61 Cell 2 Current,x61 Cell 2 Voltage,x61 Cell 2 Resistance,x61 Cell 2 Temp,x61 Cell 3 Current,x61 Cell 3 Voltage,x61 Cell 3 Resistance,x61 Cell 3 Temp,x61 Cell 4 Current,x61 Cell 4 Voltage,x61 Cell 4 Resistance,x61 Cell 4 Temp,x61 Cell 4 Temp,x62 Cell 5 Current,x62 Cell 5 Voltage,x62 Cell 5 Resistance,x62 Cell 5 Temp,x62 Cell 6 Current,x62 Cell 6 Voltage,x62 Cell 6 Resistance,x62 Cell 6 Temp,x62 Cell 7 Current,x62 Cell 7 Voltage,x62 Cell 7 Resistance,x62 Cell 7 Temp,x62 Cell 7 Temp,x62 Cell 8 Current,x62 Cell 8 Voltage,x62 Cell 8 Resistance,x62 Cell 8 Temp,x63 Cell 9 Current,x63 Cell 9 Voltage,x63 Cell 9 Resistance,x63 Cell 9 Temp,x63 Cell 10 Current,x63 Cell 10 Voltage,x63 Cell 10 Resistance,x63 Cell 10 Temp,x63 Cell 11 Current,x63 Cell 11 Voltage,x63 Cell 11 Resistance,x63 Cell 11 Temp,x63 Cell 12 Current,x63 Cell 12 Voltage,x63 Cell 12 Resistance,x63 Cell 12 Temp,x64 Cell 13 Current,x64 Cell 13 Voltage,x64 Cell 13 Resistance,x64 Cell 13 Temp,x64 Cell 14 Current,x64 Cell 14 Voltage,x64 Cell 14 Resistance,x64 Cell 14 Temp,x64 Cell 15 Current,x64 Cell 15 Voltage,x64 Cell 15 Resistance,x64 Cell 15 Temp,x64 Cell 16 Current,x64 Cell 16 Voltage,x64 Cell 16 Resistance,x64 Cell 16 Temp
05-07-2026-Thu 13-48-15-PM,14.9,5.016,0.42080536912751676,-24.2038,-24.204,15.4,5.028,0.4081168831168831,-24.204,17.9,5.012,0.35000000000000003,-22.737,18.7,5.024,0.33582887700534764,-22.737,-22.737,18.5,5.008,0.3383783783783784,-22.737,17.7,5.02,0.35451977401129936,-23.937,16.0,5.0,0.390625,-23.9371,-23.937,15.7,5.008,0.3987261146496816,-23.937,11.7,5.024,0.5367521367521368,-24.204,13.5,5.024,0.4651851851851852,,15.6,5.02,0.4022435897435897,-22.737,10.8,5.036,0.5828703703703704,-22.737,15.9,5.008,0.3937106918238994,-22.737,17.1,5.032,0.3678362573099415,,17.7,5.0,0.3531073446327684,-23.937,18.2,5.0,0.34340659340659335,
05-07-2026-Thu 13-48-17-PM,14.2,5.02,0.44190140845070425,-24.2704,-24.27,15.0,5.02,0.4183333333333333,-24.27,17.8,5.012,0.35196629213483144,-22.737,18.2,5.028,0.3453296703296703,-22.737,-22.737,17.6,5.012,0.3559659090909091,-22.737,17.6,5.016,0.35625,-24.004,15.8,5.0,0.3955696202531645,-24.0039,-24.004,15.1,5.012,0.4149006622516556,-24.004,11.6,5.028,0.5418103448275862,-24.27,13.6,5.024,0.46176470588235297,,15.3,5.016,0.40980392156862744,-22.737,10.5,5.04,0.6,-22.737,15.5,5.012,0.40419354838709676,-22.737,16.6,5.032,0.37891566265060245,,17.6,5.004,0.3553977272727272,-24.004,17.8,5.004,0.3514044943820225,
05-07-2026-Thu 13-48-18-PM,14.0,5.02,0.4482142857142857,-24.2704,-24.27,14.9,5.024,0.42147651006711406,-24.27,17.7,5.012,0.353954802259887,-22.77,17.9,5.028,0.3511173184357542,-22.7703,-22.77,17.5,5.012,0.35799999999999993,-22.77,17.4,5.02,0.360632183908046,-23.97,15.6,5.0,0.4006410256410257,-23.9705,-23.97,14.9,5.012,0.4204697986577181,-23.97,11.4,5.028,0.5513157894736842,-24.27,13.3,5.024,0.47218045112781953,,15.3,5.02,0.4101307189542483,-22.77,10.4,5.036,0.6052884615384615,-22.77,15.1,5.012,0.4149006622516556,-22.77,16.8,5.032,0.37440476190476185,,17.4,5.004,0.3594827586206897,-23.97,17.7,5.004,0.35338983050847456,
05-07-2026-Thu 13-49-32-PM,13.9,5.02,0.4514388489208633,-25.0037,-25.004,14.9,5.024,0.42147651006711406,-25.004,17.0,5.012,0.3685294117647058,-23.27,17.8,5.028,0.3530898876404494,-23.2704,-23.27,17.7,5.012,0.353954802259887,-23.27,17.3,5.02,0.3627167630057803,-24.437,15.0,5.0,0.41666666666666674,-24.4371,-24.437,14.9,5.012,0.4204697986577181,-24.437,10.6,5.028,0.5929245283018867,-25.004,12.7,5.024,0.49448818897637803,,14.8,5.02,0.42398648648648646,-23.27,10.1,5.036,0.6232673267326733,-23.27,15.3,5.016,0.40980392156862744,-23.27,16.6,5.032,0.37891566265060245,,17.4,5.0,0.3591954022988506,-24.437,17.7,5.004,0.35338983050847456,
05-07-2026-Thu 13-49-33-PM,13.2,5.024,0.47575757575757577,-25.0037,-25.004,13.8,5.024,0.4550724637681159,-25.004,16.1,5.016,0.38944099378881986,-23.304,17.1,5.028,0.36754385964912273,-23.3038,-23.304,16.8,5.016,0.3732142857142857,-23.304,16.6,5.02,0.37801204819277107,-24.437,14.6,5.004,0.4284246575342466,-24.4371,-24.437,14.3,5.012,0.43811188811188806,-24.437,10.4,5.028,0.604326923076923,-25.004,12.5,5.028,0.5027999999999999,,14.2,5.02,0.44190140845070425,-23.304,9.6,5.04,0.65625,-23.304,14.6,5.016,0.4294520547945206,-23.304,15.7,5.032,0.40063694267515926,,16.8,5.008,0.37261904761904757,-24.437,16.5,5.008,0.3793939393939394,
05-07-2026-Thu 13-49-34-PM,12.9,5.02,0.48643410852713176,-25.0037,-25.004,13.5,5.028,0.4655555555555555,-25.004,15.9,5.016,0.39433962264150946,-23.304,16.7,5.028,0.37634730538922156,-23.3038,-23.304,16.5,5.02,0.38030303030303025,-23.304,16.1,5.02,0.38975155279503104,-24.437,14.1,5.008,0.4439716312056738,-24.4371,-24.437,13.8,5.016,0.4543478260869565,-24.437,10.5,5.028,0.5985714285714285,-25.004,12.2,5.028,0.5151639344262295,,13.8,5.024,0.4550724637681159,-23.304,9.6,5.044,0.6567708333333333,-23.304,14.3,5.016,0.43846153846153846,-23.304,15.4,5.032,0.40844155844155844,,16.4,5.008,0.38170731707317085,-24.437,16.3,5.008,0.38404907975460123,
05-07-2026-Thu 13-49-36-PM,12.6,5.024,0.4984126984126984,-25.0037,-25.004,13.3,5.032,0.47293233082706765,-25.004,15.9,5.016,0.39433962264150946,-23.337,16.5,5.032,0.38121212121212117,-23.3372,-23.337,15.9,5.02,0.39465408805031443,-23.337,16.1,5.024,0.3900621118012423,-24.47,14.0,5.004,0.44678571428571423,-24.4705,-24.47,13.2,5.012,0.4746212121212121,-24.47,10.4,5.028,0.604326923076923,-25.004,12.0,5.028,0.5237499999999999,,13.6,5.024,0.46176470588235297,-23.337,9.5,5.04,0.6631578947368422,-23.337,14.3,5.012,0.43811188811188806,-23.337,15.2,5.036,0.41414473684210523,,16.2,5.008,0.38641975308641974,-24.47,16.0,5.008,0.39125,
05-07-2026-Thu 13-51-02-PM,12.3,5.02,0.5101626016260162,-25.9032,-25.903,12.9,5.024,0.4868217054263566,-25.903,15.0,5.016,0.41800000000000004,-23.87,16.3,5.032,0.38588957055214723,-23.8705,-23.87,16.0,5.016,0.39187500000000003,-23.87,16.0,5.02,0.3921874999999999,-25.037,13.2,5.004,0.4738636363636363,-25.037,-25.037,13.4,5.016,0.467910447761194,-25.037,9.1,5.032,0.6912087912087913,-25.903,11.0,5.032,0.5718181818181819,,12.7,5.024,0.49448818897637803,-23.87,8.7,5.044,0.7247126436781609,-23.87,13.5,5.02,0.4648148148148148,-23.87,14.0,5.032,0.4492857142857143,,14.9,5.008,0.42013422818791946,-25.037,14.9,5.012,0.4204697986577181,
05-07-2026-Thu 13-51-03-PM,11.7,5.024,0.5367521367521368,-25.9364,-25.936,12.5,5.028,0.5027999999999999,-25.936,14.4,5.016,0.43541666666666673,-23.937,15.3,5.032,0.4111111111111111,-23.9371,-23.937,15.1,5.016,0.41523178807947025,-23.937,15.2,5.024,0.4131578947368421,-25.07,12.9,5.004,0.4848837209302325,-25.0703,-25.07,12.8,5.016,0.48984375,-25.07,9.1,5.032,0.6912087912087913,-25.936,11.0,5.028,0.5713636363636363,,12.3,5.024,0.5105691056910568,-23.937,8.5,5.044,0.7417647058823529,-23.937,12.7,5.02,0.4940944881889764,-23.937,14.0,5.036,0.44964285714285707,,14.6,5.008,0.4287671232876712,-25.07,14.7,5.012,0.4261904761904761,
05-07-2026-Thu 13-51-04-PM,11.4,5.024,0.5508771929824561,-25.9364,-25.936,12.0,5.024,0.5233333333333333,-25.936,14.6,5.02,0.42979452054794515,-23.937,15.1,5.032,0.41655629139072853,-23.9371,-23.937,14.7,5.02,0.42687074829931976,-23.937,14.8,5.028,0.4246621621621621,-25.037,12.7,5.008,0.4929133858267717,-25.037,-25.037,12.2,5.016,0.5139344262295082,-25.037,9.0,5.032,0.698888888888889,-25.936,10.8,5.032,0.5824074074074074,,12.1,5.024,0.51900826446281,-23.937,8.5,5.044,0.7417647058823529,-23.937,12.6,5.02,0.49801587301587297,-23.937,13.9,5.04,0.45323741007194246,,14.3,5.012,0.43811188811188806,-25.037,14.2,5.012,0.4411971830985915,
