Timestamp,Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
09-27-2025-Sat 11-54-47-AM,09-27-2025-Sat 11-54-47-AM,148.5,5.412,21.813,133.1,5.42,22.2526,127.5,5.424,22.14,127.9,5.48,22.5565,101.2,5.4,21.971,108.5,5.456,22.1171,114.5,5.38,22.027,144.6,5.368,22.3195,123.5,5.416,21.3736,128.5,5.42,21.746,120.5,5.428,21.6107,111.0,5.492,21.802,116.4,5.384,21.2382,131.7,5.456,21.666,122.7,5.368,21.6438,106.6,5.368,21.982
09-27-2025-Sat 11-54-49-AM,09-27-2025-Sat 11-54-49-AM,136.2,5.46,21.864,129.3,5.464,22.2187,120.4,5.468,22.128,119.7,5.52,22.5904,100.0,5.44,22.027,106.9,5.492,22.2187,110.1,5.424,22.05,136.9,5.412,22.3542,119.8,5.452,21.5091,125.9,5.448,21.768,115.4,5.46,21.576,110.0,5.52,21.813,113.1,5.412,21.272,126.5,5.492,21.689,116.8,5.404,21.576,102.9,5.404,21.965
09-27-2025-Sat 11-54-52-AM,09-27-2025-Sat 11-54-52-AM,128.0,5.484,21.931,127.3,5.488,22.2864,118.0,5.488,22.185,116.0,5.544,22.692,99.3,5.464,22.14,105.8,5.512,22.2526,108.6,5.448,21.971,131.7,5.436,22.1848,116.8,5.468,21.576,123.3,5.472,21.813,111.8,5.48,21.576,109.2,5.536,21.914,110.2,5.436,21.4752,122.7,5.508,21.734,113.3,5.424,21.4752,100.2,5.428,21.83
09-27-2025-Sat 11-54-54-AM,09-27-2025-Sat 11-54-54-AM,122.9,5.496,21.881,125.3,5.5,22.2864,115.9,5.5,22.162,114.6,5.556,22.6243,98.3,5.476,22.095,105.6,5.528,22.1848,107.4,5.46,22.049,127.7,5.452,22.3872,114.0,5.476,21.4752,121.2,5.484,21.779,108.8,5.488,21.576,108.4,5.544,21.892,107.0,5.448,21.4752,119.7,5.516,21.745,110.6,5.436,21.576,97.6,5.44,21.982
09-27-2025-Sat 11-54-56-AM,09-27-2025-Sat 11-54-56-AM,119.1,5.504,21.898,123.7,5.5,22.2864,114.4,5.508,22.151,113.8,5.56,22.5904,97.7,5.484,22.084,105.2,5.528,22.2526,106.2,5.468,22.174,124.5,5.456,22.5565,111.5,5.488,21.5091,119.4,5.488,21.79,106.8,5.492,21.576,107.4,5.548,21.858,104.9,5.448,21.4075,117.9,5.52,21.791,108.8,5.444,21.7115,95.1,5.448,22.134
09-27-2025-Sat 11-54-59-AM,09-27-2025-Sat 11-54-59-AM,116.4,5.508,21.915,122.2,5.508,22.3542,112.6,5.512,22.219,112.9,5.568,22.692,96.7,5.488,22.004,104.8,5.536,22.151,105.1,5.472,22.185,122.1,5.464,22.4888,109.8,5.492,21.4752,118.1,5.492,21.813,105.1,5.5,21.6107,106.8,5.552,21.824,103.5,5.456,21.1704,116.0,5.528,21.745,107.5,5.444,21.9139,93.4,5.448,22.201
09-27-2025-Sat 11-55-01-AM,09-27-2025-Sat 11-55-01-AM,114.0,5.512,21.948,121.2,5.512,22.4211,111.5,5.516,22.219,112.0,5.568,22.692,96.5,5.492,22.162,104.7,5.536,22.3195,104.1,5.476,22.185,119.8,5.468,22.4888,108.6,5.496,21.4752,117.0,5.5,21.813,104.1,5.508,21.543,106.2,5.556,21.903,102.1,5.464,21.4752,114.7,5.532,21.847,106.6,5.452,21.7454,91.9,5.456,22.117
09-27-2025-Sat 11-55-04-AM,09-27-2025-Sat 11-55-04-AM,112.6,5.516,21.948,120.1,5.516,22.4211,109.9,5.52,22.23,111.1,5.572,22.6243,95.7,5.496,22.106,104.0,5.54,22.2864,103.3,5.48,22.14,117.8,5.472,22.4549,107.7,5.5,21.4752,116.2,5.504,21.847,103.0,5.508,21.6438,105.5,5.56,21.892,101.4,5.468,21.4075,113.0,5.536,21.79,105.9,5.456,21.6776,90.6,5.46,22.066
09-27-2025-Sat 11-55-06-AM,09-27-2025-Sat 11-55-06-AM,111.3,5.524,21.948,119.4,5.524,22.3872,109.2,5.524,22.207,110.1,5.576,22.6243,95.8,5.504,22.038,103.7,5.544,22.151,103.1,5.488,22.095,116.4,5.48,22.4888,106.8,5.508,21.5091,114.8,5.512,21.836,102.3,5.52,21.6107,105.1,5.572,21.858,100.6,5.476,21.3398,111.9,5.548,21.712,105.2,5.464,21.6438,90.3,5.472,22.066
09-27-2025-Sat 11-55-08-AM,09-27-2025-Sat 11-55-08-AM,110.3,5.528,21.982,119.0,5.532,22.4888,108.7,5.532,22.275,109.3,5.58,22.692,95.6,5.504,22.106,103.6,5.552,22.2526,102.5,5.5,22.185,114.9,5.488,22.4888,106.9,5.508,21.4752,113.4,5.512,21.869,101.5,5.516,21.6438,104.4,5.572,21.903,99.3,5.48,21.3736,109.7,5.544,21.813,104.5,5.472,21.8123,89.0,5.472,22.151
09-27-2025-Sat 11-55-11-AM,09-27-2025-Sat 11-55-11-AM,108.8,5.532,22.016,118.4,5.524,22.4888,107.7,5.528,22.252,108.9,5.58,22.6243,95.7,5.504,22.05,103.0,5.548,22.151,102.1,5.496,22.128,113.4,5.488,22.5565,106.9,5.512,21.543,112.5,5.516,21.892,100.4,5.52,21.6438,104.2,5.572,21.881,98.5,5.48,21.3736,108.0,5.548,21.734,104.0,5.472,21.6776,88.7,5.472,22.117
09-27-2025-Sat 11-55-13-AM,09-27-2025-Sat 11-55-13-AM,107.7,5.528,22.05,117.9,5.528,22.4888,107.4,5.532,22.297,108.1,5.58,22.692,95.1,5.508,22.162,103.3,5.552,22.3195,101.6,5.492,22.32,112.3,5.488,22.5227,,,21.6107,,,21.937,,,21.7115,,,21.96,,,21.4752,,,21.971,,,22.1171,,,22.32
09-27-2025-Sat 11-55-16-AM,09-27-2025-Sat 11-55-16-AM,110.5,5.624,22.066,122.1,5.624,22.4888,110.6,5.628,22.286,112.0,5.676,22.7251,99.0,5.6,22.106,107.2,5.644,22.151,105.0,5.588,22.218,114.7,5.584,22.5904,,,21.6438,,,21.925,,,21.6438,,,21.937,,,21.4414,,,21.835,,,21.9139,,,22.252
09-27-2025-Sat 11-57-18-AM,09-27-2025-Sat 11-57-18-AM,98.7,5.548,20.124,114.5,5.548,21.6107,104.1,5.552,20.833,105.1,5.596,21.3736,94.8,5.524,21.025,102.9,5.564,21.6107,99.3,5.512,20.923,105.2,5.504,21.7115,94.9,5.536,18.6377,107.4,5.536,19.921,95.0,5.544,19.5158,97.8,5.592,20.326,94.9,5.504,20.09,99.5,5.568,20.383,99.5,5.496,19.4481,85.4,5.5,20.58
09-27-2025-Sat 11-57-20-AM,09-27-2025-Sat 11-57-20-AM,97.9,5.556,20.04,113.7,5.556,21.6107,103.7,5.556,20.743,103.9,5.604,21.2382,94.5,5.532,20.878,102.7,5.576,21.5091,98.7,5.52,20.844,104.8,5.516,21.7115,,,18.4684,,,19.82,,,19.3804,,,20.169,,,19.8876,,,20.236,,,19.3126,,,20.512
09-27-2025-Sat 11-58-35-AM,09-27-2025-Sat 11-58-35-AM,92.6,5.58,15.568,112.8,5.58,18.4353,103.0,5.58,17.187,102.8,5.628,18.0644,94.0,5.556,17.547,102.1,5.6,18.9417,99.1,5.544,18.019,103.4,5.54,19.0764,89.9,5.568,12.7007,102.7,5.572,15.399,88.0,5.576,15.0608,94.0,5.624,16.253,94.1,5.536,15.6341,95.5,5.604,16.872,99.5,5.528,16.0389,86.3,5.532,17.558
09-27-2025-Sat 11-58-37-AM,09-27-2025-Sat 11-58-37-AM,90.2,5.58,15.45,110.1,5.58,18.3676,100.6,5.584,17.074,100.9,5.632,17.9967,92.9,5.56,17.401,100.4,5.6,18.7393,97.2,5.544,17.94,100.2,5.544,19.1103,87.4,5.572,12.5321,100.6,5.576,15.253,88.0,5.58,14.8584,92.2,5.624,16.107,90.7,5.544,15.4656,93.7,5.608,16.725,96.4,5.528,15.9712,82.3,5.536,17.541
